letter,language,coverage,title,id,file
P,"Panjabi, Eastern",Full Bible,"ਇੰਡਿਅਨ ਰਿਵਾਇਜ਼ਡ ਵਰਜ਼ਨ (IRV) - ਪੰਜਾਬੀ",pan,P/Panjabi, Eastern/Full Bible — ਇੰਡਿਅਨ ਰਿਵਾਇਜ਼ਡ ਵਰਜ਼ਨ (IRV) - ਪੰਜਾਬੀ.html
S,"Sunwar",Full Bible,"परमप्रभु यावे आ लोव़",suzBl,S/Sunwar/Full Bible — परमप्रभु यावे आ लोव़.html
U,"Urdu",Full Bible,"इंडियन रिवाइज्ड वर्जन (IRV) उर्दू - 2019",urd,U/Urdu/Full Bible — इंडियन रिवाइज्ड वर्जन (IRV) उर्दू - 2019.html
A,"Arabic, Standard",Full Bible,"Ketab El Hayat Majani/كتاب الحياة مجانى",arbnav,A/Arabic, Standard/Full Bible — Ketab El Hayat Majani كتاب الحياة مجانى.html
C,"Cebuano",Full Bible,"Balaan nga Bibliya",cebulb,C/Cebuano/Full Bible — Balaan nga Bibliya.html
C,"Central Kurdish",Full Bible,"Biblica® وەشانی بێبەرامبەری کوردیی سۆرانیی ستاندەر",ckb,C/Central Kurdish/Full Bible — Biblica® وەشانی بێبەرامبەری کوردیی سۆرانیی ستاندەر.html
C,"Chhattisgarhi",Full Bible,"Biblica® सुतंतर समकालीन छत्तीसगढ़ी अनुवाद",hne,C/Chhattisgarhi/Full Bible — Biblica® सुतंतर समकालीन छत्तीसगढ़ी अनुवाद.html
D,"Dholuo",Full Bible,"Biblica® Ochiw Thuolo Motingʼo Loko Manyien™",luo,D/Dholuo/Full Bible — Biblica® Ochiw Thuolo Motingʼo Loko Manyien™.html
E,"English",Full Bible,"World English Bible",engwebp,E/English/Full Bible — World English Bible.html
E,"English",Full Bible,"World English Bible British Edition",engwebpb,E/English/Full Bible — World English Bible British Edition.html
E,"English",Full Bible,"World Messianic Bible",engwmb,E/English/Full Bible — World Messianic Bible.html
E,"English",Full Bible,"World Messianic Bible British Edition",engwmbb,E/English/Full Bible — World Messianic Bible British Edition.html
H,"Haitian",Full Bible,"Bib Sen An",hatbsa,H/Haitian/Full Bible — Bib Sen An.html
I,"Igbo",Full Bible,"Biblica® Baịbụlụ Nsọ nʼIgbo Ndị Ugbu a nke dịrị onye ọbụla ịgụ",ibo,I/Igbo/Full Bible — Biblica® Baịbụlụ Nsọ nʼIgbo Ndị Ugbu a nke dịrị onye ọbụla ịgụ.html
J,"Japanese",Full Bible,"フリーダム・バイブル",jpnm,J/Japanese/Full Bible — フリーダム・バイブル.html
M,"Māori",Full Bible,"Paipera Tapu 2012",mri2012,M/Māori/Full Bible — Paipera Tapu 2012.html
N,"Ndebele",Full Bible,"Biblica® IBhayibhili Elingcwele LesiNdebele Elifinyelelekayo",nde,N/Ndebele/Full Bible — Biblica® IBhayibhili Elingcwele LesiNdebele Elifinyelelekayo.html
S,"Somali",Full Bible,"Kitaabka Quduuska Ah",som,S/Somali/Full Bible — Kitaabka Quduuska Ah.html
S,"Swahili",Full Bible,"Biblica® Toleo Wazi Neno: Bibilia Takatifu™",swhonen,S/Swahili/Full Bible — Biblica® Toleo Wazi Neno Bibilia Takatifu™.html
S,"Swahili",Full Bible,"Biblica® Toleo Wazi Neno: Maandiko Matakatifu",swhonmm,S/Swahili/Full Bible — Biblica® Toleo Wazi Neno Maandiko Matakatifu.html
T,"Tagalog",Full Bible,"banal na Bibliya",tglulb,T/Tagalog/Full Bible — banal na Bibliya.html
T,"Tamil",Full Bible,"இண்டியன் ரிவைஸ்டு வெர்ஸன் (IRV) - தமிழ்",tam2017,T/Tamil/Full Bible — இண்டியன் ரிவைஸ்டு வெர்ஸன் (IRV) - தமிழ்.html
C,"chiShona",Full Bible,"Biblica® Bhaibheri Dzvene Rakasununguka MuChiShona Chanhasi 2017",sna,C/chiShona/Full Bible — Biblica® Bhaibheri Dzvene Rakasununguka MuChiShona Chanhasi 2017.html
E,"eʋegbe",Full Bible,"Biblica® Se aɖeke mebla Biblia zazã o Agbenya La™",ewe,E/eʋegbe/Full Bible — Biblica® Se aɖeke mebla Biblia zazã o Agbenya La™.html
B,"Burmese",Full Bible,"မြန်မာကျမ်းစာ",myajvb,B/Burmese/Full Bible — မြန်မာကျမ်းစာ.html
D,"Dutch",Full Bible,"De Heilige Schrift 1917",nld,D/Dutch/Full Bible — De Heilige Schrift 1917.html
E,"English",Full Bible,"American Standard Version (1901)",eng-asv,E/English/Full Bible — American Standard Version (1901).html
E,"English",Full Bible,"King James (Authorized) Version",eng-kjv2006,E/English/Full Bible — King James (Authorized) Version.html
E,"English",Full Bible,"Bible in Basic English",engBBE,E/English/Full Bible — Bible in Basic English.html
E,"English",Full Bible,"Majority Standard Bible",engmsb,E/English/Full Bible — Majority Standard Bible.html
E,"English",Full Bible,"NET Bible",engnet,E/English/Full Bible — NET Bible.html
E,"English",Full Bible,"Noah Webster Bible",engwebster,E/English/Full Bible — Noah Webster Bible.html
E,"English",Full Bible,"Young's Literal Translation",engylt,E/English/Full Bible — Young's Literal Translation.html
E,"Esperanto",Full Bible,"Londona Biblio",epo,E/Esperanto/Full Bible — Londona Biblio.html
G,"German, Standard",Full Bible,"Lutherbibel 1912",deu1912,G/German, Standard/Full Bible — Lutherbibel 1912.html
G,"German, Standard",Full Bible,"Die Schlachter-Bibel 1951",deu1951,G/German, Standard/Full Bible — Die Schlachter-Bibel 1951.html
G,"German, Standard",Full Bible,"Darby Unrevidierte Elberfelder",deuelo,G/German, Standard/Full Bible — Darby Unrevidierte Elberfelder.html
H,"Haitian",Full Bible,"Bib La",hat,H/Haitian/Full Bible — Bib La.html
H,"Hawaiian",Full Bible,"Baibala Hemolele",haw1868,H/Hawaiian/Full Bible — Baibala Hemolele.html
H,"Hebrew",Full Bible,"תנ ך עברי מודרני",heb,H/Hebrew/Full Bible — תנ ך עברי מודרני.html
I,"Ilocano",Full Bible,"Ti Biblia",iloulb,I/Ilocano/Full Bible — Ti Biblia.html
I,"Indonesian",Full Bible,"Alkitab Yang Terbuka",indayt,I/Indonesian/Full Bible — Alkitab Yang Terbuka.html
I,"Italian",Full Bible,"Riveduta Bibbia 1927",ita1927,I/Italian/Full Bible — Riveduta Bibbia 1927.html
M,"Malayalam",Full Bible,"ഇന്ത്യൻ റിവൈസ്ഡ് വേർഷൻ (IRV) - മലയാളം",mal,M/Malayalam/Full Bible — ഇന്ത്യൻ റിവൈസ്ഡ് വേർഷൻ (IRV) - മലയാളം.html
N,"Nepali",Full Bible,"पवित्र बाइबल",npiulb,N/Nepali/Full Bible — पवित्र बाइबल.html
O,"Oromo, West Central",Full Bible,"Kitaaba Qulqulluu, Biblica® Hiikkaa Ammayyaa Banamaa Haaraa, Loqoda Dhiʼaa",gaz,O/Oromo, West Central/Full Bible — Kitaaba Qulqulluu, Biblica® Hiikkaa Ammayyaa Banamaa Haaraa, Loqoda Dhiʼaa.html
O,"Oromo, West Central",Full Bible,"ክታበ ቁልቁሉ, Biblica® ሂካ አመያ በነማ ሃራ, ሎቆደ ዽኣ",gaze,O/Oromo, West Central/Full Bible — ክታበ ቁልቁሉ, Biblica® ሂካ አመያ በነማ ሃራ, ሎቆደ ዽኣ.html
P,"Polish",Full Bible,"Święta Biblia",polubg,P/Polish/Full Bible — Święta Biblia.html
P,"Portuguese",Full Bible,"Bíblia Livre",porbr2018,P/Portuguese/Full Bible — Bíblia Livre.html
R,"Romanian",Full Bible,"Biblia Traducerea Fidela",ronbtf,R/Romanian/Full Bible — Biblia Traducerea Fidela.html
S,"Serbian",Full Bible,"Biblica® Нови српски превод, слободна права",srponspc,S/Serbian/Full Bible — Biblica® Нови српски превод, слободна права.html
S,"Serbian",Full Bible,"Biblica® Novi srpski prevod, slobodna prava",srponstl,S/Serbian/Full Bible — Biblica® Novi srpski prevod, slobodna prava.html
S,"Spanish",Full Bible,"Santa Biblia — Reina Valera 1909",spaRV1909,S/Spanish/Full Bible — Santa Biblia — Reina Valera 1909.html
S,"Spanish",Full Bible,"La Biblia en Español Sencillo",spabes,S/Spanish/Full Bible — La Biblia en Español Sencillo.html
S,"Spanish",Full Bible,"Santa Biblia Reina Valera Gómez",sparvg,S/Spanish/Full Bible — Santa Biblia Reina Valera Gómez.html
S,"Spanish",Full Bible,"Versión Biblia Libre",spavbl,S/Spanish/Full Bible — Versión Biblia Libre.html
T,"Tamil",Full Bible,"Biblica® திறந்தநிலை தமிழ் சமகால பதிப்பு",tamtcv,T/Tamil/Full Bible — Biblica® திறந்தநிலை தமிழ் சமகால பதிப்பு.html
T,"Thai",Full Bible,"พระคัมภีร์ภาษาไทยฉบับ KJV",thaKJV,T/Thai/Full Bible — พระคัมภีร์ภาษาไทยฉบับ KJV.html
T,"Tongan",Full Bible,"KO E TOHI TAPU KĀTOA",ton,T/Tongan/Full Bible — KO E TOHI TAPU KĀTOA.html
V,"Vietnamese",Full Bible,"Kinh Thánh",vie1934,V/Vietnamese/Full Bible — Kinh Thánh.html
G,"Gikuyu",Full Bible,"Biblica® Kiugo Gĩtheru Kĩa Ngai Kĩhingũre",kik,G/Gikuyu/Full Bible — Biblica® Kiugo Gĩtheru Kĩa Ngai Kĩhingũre.html
G,"Guaraní, Mbyá",Full Bible,"Nhanderuete ayvu iky'a e'ỹ va'e",gun,G/Guaraní, Mbyá/Full Bible — Nhanderuete ayvu iky'a e'ỹ va'e.html
S,"Swahili",Full Bible,"Biblia Takatifu",swhulb,S/Swahili/Full Bible — Biblia Takatifu.html
B,"Bengali",Full Bible,"Biblica® মুক্তভাবে বাংলা সমকালীন সংস্করণের",benobcv,B/Bengali/Full Bible — Biblica® মুক্তভাবে বাংলা সমকালীন সংস্করণের.html
S,"San Blas Kuna",Full Bible,"Bab-Dummad-Garda-Islidikid",cuk,S/San Blas Kuna/Full Bible — Bab-Dummad-Garda-Islidikid.html
T,"Twi",Full Bible,"Biblica® Wonhia ɛho kwamma nhoma Akuapem Twi Nkwa Asɛm",twi,T/Twi/Full Bible — Biblica® Wonhia ɛho kwamma nhoma Akuapem Twi Nkwa Asɛm.html
T,"Twi",Full Bible,"Biblica® Wɔnhia ɛho kwamma nwoma Asante Twi Nkwa Asɛm",twiasante,T/Twi/Full Bible — Biblica® Wɔnhia ɛho kwamma nwoma Asante Twi Nkwa Asɛm.html
E,"English",Full Bible,"Darby Translation",engDBY,E/English/Full Bible — Darby Translation.html
#,"اردو",Full Bible,"Biblica® آزادانہ اردو ہم عصر ترجمہ",urdoucv,#/اردو/Full Bible — Biblica® آزادانہ اردو ہم عصر ترجمہ.html
C,"Chuukese",Full Bible,"Paipel",chk,C/Chuukese/Full Bible — Paipel.html
